Date and Time,Avg Sim (kWh/day),Avg Act (kWh/day),Sum Sim (kWh/month),Sum Act (kWh/month),Diff (kWh/day),Diff (kWh/month),Pct Diff,Abs Pct Diff
2025-01-31,26.815339289612904,26.01294258064516,831.275517978,806.40122,0.8023967089677448,24.874297978000072,-0.02992304890501829,0.02992304890501829
2025-02-28,24.007103073035715,24.521668214285715,672.198886045,686.60671,-0.5145651412499994,-14.407823955000026,0.021433870620897633,0.021433870620897633
2025-03-31,20.580301708516128,1.85429,637.989352964,57.48299,18.72601170851613,580.506362964,-0.9098997659867788,0.9098997659867788
2025-04-30,15.405938974133333,0.0,462.178169224,0.0,15.405938974133333,462.178169224,-1.0,1.0
2025-05-31,10.376353000870967,0.0,321.666943027,0.0,10.376353000870967,321.666943027,-1.0,1.0
2025-06-30,8.997741480233334,0.0,269.932244407,0.0,8.997741480233334,269.932244407,-1.0,1.0
2025-07-31,10.552698410967743,0.0,327.13365074,0.0,10.552698410967743,327.13365074,-1.0,1.0
2025-08-31,13.028095730322582,1.2383577419354836,403.87096764,38.38909,11.789737988387097,365.48187764,-0.9049471413498109,0.9049471413498109
2025-09-30,17.494292414866667,13.776433333333333,524.828772446,413.293,3.7178590815333337,111.53577244600001,-0.21251840276625844,0.21251840276625844
2025-10-31,21.577966064064515,21.680395161290324,668.916947986,672.09225,-0.10242909722580862,-3.175302014000067,0.004746930128710858,0.004746930128710858
2025-11-30,24.670581394800003,22.334028999999997,740.117441844,670.02087,2.3365523948000053,70.0965718440001,-0.09471006610701505,0.09471006610701505
2025-12-31,25.90721747751613,26.634948387096774,803.123741803,825.6834,-0.727730909580643,-22.559658196999976,0.028089890788627336,0.028089890788627336
