year,peak_rate,offpeak_rate,export_rate,import_cost,export_revenue,maintenance_cost,net_cost
1,0.3971,0.1353,0.033,6707.078942150525,304.01433215477374,250,6653.064609995751
2,0.409013,0.139359,0.03399,6908.291310415041,313.1347621194169,250,6845.156548295624
3,0.42128339,0.14353977,0.0350097,7115.540049727493,322.5288049829994,250,7043.0112447444935
4,0.4339218917,0.1478459631,0.036059991,7329.006251219318,332.2046691324894,250,7246.801582086829
5,0.4469395484510001,0.15228134199300003,0.037141790730000006,7548.876438755899,342.1708092064641,250,7456.705629549435
6,0.46034773490453,0.15684978225279,0.038256044451900006,7775.342731918574,352.4359334826581,250,7672.906798435916
7,0.47415816695166596,0.16155527572037373,0.039403725785457006,8008.603013876132,363.0090114871378,250,7895.594002388993
8,0.488382911960216,0.16640193399198494,0.04058583755902072,8248.861104292417,373.899281831752,250,8124.961822460665
9,0.5030343993190225,0.1713939920117445,0.041803412685791345,8496.326937421189,385.1162602867046,250,8361.210677134484
10,0.5181254312985931,0.17653581177209685,0.043057515066365085,8751.216745543825,396.6697480953057,250,8604.546997448519
11,0.533669194237551,0.18183188612525975,0.04434924051835604,9013.753247910141,408.5698405381649,250,8855.183407371977
12,0.5496792700646775,0.18728684270901755,0.045679717733906715,9284.165845347445,420.8269357543098,250,9113.338909593134
13,0.5661696481666179,0.19290544799028805,0.04705010926592392,9562.690820707867,433.45174382693915,250,9379.239076880927
14,0.5831547376116164,0.19869261142999672,0.04846161254390164,9849.571545329105,446.45529614174734,250,9653.116249187358
15,0.6006493797399649,0.20465338977289665,0.049915460920218695,10145.058691688977,459.84895502599977,250,9935.209736662977
16,0.6186688611321638,0.21079299146608352,0.05141292474782525,10449.410452439646,473.64442367677975,250,10225.766028762866
17,0.6372289269661288,0.21711678121006606,0.05295531249026001,10762.892766012836,487.85375638708314,250,10525.039009625752
18,0.6563457947751127,0.22363028464636803,0.05454397186496781,11085.779548993221,502.48936907869563,250,10833.290179914526
19,0.6760361686183661,0.2303391931857591,0.05618029102091685,11418.35293546302,517.5640501510566,250,11150.788885311962
20,0.6963172536769171,0.23724936898133187,0.057865699751544354,11760.903523526911,533.0909716555882,250,11477.812551871322
21,0.7172067712872247,0.24436685005077183,0.059601670744090694,12113.73062923272,549.083700805256,250,11814.646928427463
22,0.7387229744258413,0.25169785555229496,0.06138972086641341,12477.1425481097,565.5562118294135,250,12161.586336280287
23,0.7608846636586166,0.25924879121886385,0.06323141249240581,12851.456824552992,582.522898184296,250,12518.933926368696
24,0.7837112035683752,0.26702625495542975,0.065128354867178,13237.00052928958,599.998585129825,250,12887.001944159756
25,0.8072225396754265,0.2750370426040927,0.06708220551319334,13634.110545168269,617.9985426837197,250,13266.11200248455
26,0.8314392158656893,0.28328815388221545,0.06909467167858914,14043.133861523318,636.5384989642314,250,13656.595362559086
27,0.85638239234166,0.29178679849868194,0.07116751182894682,14464.42787736902,655.6346539331583,250,14058.793223435861
28,0.8820738641119098,0.3005404024536424,0.07330253718381523,14898.360713690088,675.3036935511532,250,14473.057020138935
29,0.9085360800352671,0.3095566145272517,0.07550161329932968,15345.311535100791,695.5628043576877,250,14899.748730743104
30,0.9357921624363251,0.3188433129630692,0.07776666169830958,15805.670881153816,716.4296884884184,250,15339.241192665397
