year,escalation_factor,peak_rate,offpeak_rate,export_rate,import_cost,export_revenue,maintenance,net_cost,pv_only_cost,savings_vs_pv_only
1,1.0,0.3971,0.1353,0.033,3200.4563272980176,1378.7472317433967,250.0,2071.709095554621,8246.44,6174.73090444538
2,1.03,0.409013,0.139359,0.03399,3296.4700171169584,1420.1096486956985,257.5,2133.86036842126,8493.833200000001,6359.9728315787415
3,1.0609,0.42128339,0.14353977,0.0350097,3395.3641176304673,1462.7129381565694,265.22499999999997,2197.876179473898,8748.648196,6550.772016526102
4,1.092727,0.4339218917,0.1478459631,0.036059991,3497.2250411593814,1506.5943263012664,273.18175,2263.812464858115,9011.10764188,6747.295177021885
5,1.1255088100000001,0.4469395484510001,0.15228134199300003,0.037141790730000006,3602.1417923941626,1551.7921560903048,281.3772025,2331.7268388038574,9281.440871136401,6949.714032332544
6,1.1592740743,0.46034773490453,0.15684978225279,0.038256044451900006,3710.2060461659876,1598.3459207730139,289.81851857500004,2401.6786439679736,9559.884097270493,7158.205453302519
7,1.1940522965290001,0.47415816695166596,0.16155527572037373,0.039403725785457006,3821.5122275509675,1646.2962983962043,298.51307413225004,2473.7290032870133,9846.680620188608,7372.951616901595
8,1.2298738654248702,0.488382911960216,0.16640193399198494,0.04058583755902072,3936.157594377497,1695.6851873480905,307.46846635621756,2547.940873385624,10142.081038794267,7594.140165408644
9,1.2667700813876164,0.5030343993190225,0.1713939920117445,0.041803412685791345,4054.2423222088214,1746.5557429685334,316.6925203469041,2624.379099587192,10446.343469958096,7821.964370370904
10,1.304773183829245,0.5181254312985931,0.17653581177209685,0.043057515066365085,4175.869591875086,1798.9524152575893,326.19329595731125,2703.110472574808,10759.733774056838,8056.62330148203
11,1.3439163793441222,0.533669194237551,0.18183188612525975,0.04434924051835604,4301.14567963134,1852.920987715317,335.9790948360306,2784.203786752053,11082.525787278544,8298.322000526492
12,1.384233870724446,0.5496792700646775,0.18728684270901755,0.045679717733906715,4430.180050020279,1908.5086173467764,346.0584676811115,2867.729900354614,11415.0015608969,8547.271660542287
13,1.4257608868461793,0.5661696481666179,0.19290544799028805,0.04705010926592392,4563.085451520888,1965.7638758671799,356.44022171154484,2953.7617973652523,11757.451607723808,8803.689810358555
14,1.4685337134515648,0.5831547376116164,0.19869261142999672,0.04846161254390164,4699.978015066515,2024.7367921431955,367.1334283628912,3042.3746512862103,12110.175155955523,9067.800504669312
15,1.512589724855112,0.6006493797399649,0.20465338977289665,0.049915460920218695,4840.977355518511,2085.4788959074917,378.14743121377796,3133.6458908247973,12473.480410634189,9339.834519809392
16,1.557967416600765,0.6186688611321638,0.21079299146608352,0.05141292474782525,4986.206676184065,2148.0432627847163,389.4918541501913,3227.65526754954,12847.684822953213,9620.029555403673
17,1.6047064390987882,0.6372289269661288,0.21711678121006606,0.05295531249026001,5135.792876469588,2212.4845606682575,401.17660977469706,3324.4849255760278,13233.115367641813,9908.630442065785
18,1.6528476322717518,0.6563457947751127,0.22363028464636803,0.05454397186496781,5289.866662763676,2278.8590974883055,413.21190806793794,3424.2194733433084,13630.108828671066,10205.889355327758
19,1.7024330612399046,0.6760361686183661,0.2303391931857591,0.05618029102091685,5448.562662646586,2347.2248704129547,425.60826530997616,3526.946057543608,14039.012093531199,10512.066035987591
20,1.7535060530771016,0.6963172536769171,0.23724936898133187,0.057865699751544354,5612.019542525984,2417.641616525343,438.3765132692754,3632.7544392699165,14460.182456337136,10827.42801706722
21,1.8061112346694148,0.7172067712872247,0.24436685005077183,0.059601670744090694,5780.380128801764,2490.170865021104,451.5278086673537,3741.737072448014,14893.98793002725,11152.250857579236
22,1.8602945717094972,0.7387229744258413,0.25169785555229496,0.06138972086641341,5953.791532665816,2564.875990971737,465.0736429273743,3853.989184621453,15340.807567928066,11486.818383306614
23,1.9161034088607822,0.7608846636586166,0.25924879121886385,0.06323141249240581,6132.4052786457905,2641.822270700889,479.0258522151956,3969.6088601600973,15801.03179496591,11831.422934805812
24,1.9735865111266058,0.7837112035683752,0.26702625495542975,0.065128354867178,6316.377437005165,2721.076938821916,493.39662778165143,4088.697125964901,16275.062748814888,12186.365622849986
25,2.032794106460404,0.8072225396754265,0.2750370426040927,0.06708220551319334,6505.86876011532,2802.709246986574,508.198526615101,4211.358039743847,16763.314631279336,12551.956591535489
26,2.093777929654216,0.8314392158656893,0.28328815388221545,0.06909467167858914,6701.0448229187805,2886.790524396171,523.444482413554,4337.6987809361635,17266.214070217713,12928.51528928155
27,2.156591267543843,0.85638239234166,0.29178679849868194,0.07116751182894682,6902.076167606344,2973.394240128056,539.1478168859607,4467.829744364249,17784.20049232425,13316.370747960002
28,2.221289005570158,0.8820738641119098,0.3005404024536424,0.07330253718381523,7109.138452634534,3062.596067331898,555.3222513925396,4601.864636695175,18317.726507093976,13715.8618703988
29,2.287927675737263,0.9085360800352671,0.3095566145272517,0.07550161329932968,7322.412606213571,3154.473949351855,571.9819189343157,4739.920575796032,18867.258302306796,14127.337726510765
30,2.356565506009381,0.9357921624363251,0.3188433129630692,0.07776666169830958,7542.084984399977,3249.108167832411,589.1413765023452,4882.118193069911,19433.276051376,14551.15785830609
